area_type,availability,location,size,society,total_sqft,Hospitals,Public Connectivity,price
Built-up  Area,Ready To Move,Herohalli,3 sq km,,1100,3,1,110
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 sq mt,Lancyey,1375,2,1,54.99
Super built-up  Area,Ready To Move,Ardendale,3 sq mt,Mahtsba,1650,3,3,82
Super built-up  Area,Ready To Move,Thanisandra,3 sq mt,MenueNo,1430,2,2,51.48
Built-up  Area,Ready To Move,Electronic City,2 sq mt,Pao 3ow,940,2,1,54
Super built-up  Area,Ready To Move,Electronic City,1 sq mt,GMown E,435,1,1,21
Super built-up  Area,Ready To Move,Begur Road,2 sq mt,Dhalsh ,1160,2,2,36.54
Super built-up  Area,18-Mar,Electronic City,3 sq mt,GMown E,1500,2,1,77.5
Super built-up  Area,Ready To Move,Koramangala,3 sq mt,KHage G,1890,2,1,100
Built-up  Area,Ready To Move,Doopanahalli,2 sq mt,,1050,2,1,70
Plot  Area,Ready To Move,Singasandra,6 sq km,,1200,6,3,220
Super built-up  Area,Ready To Move,Haralur Road,2 sq mt,,1027,2,2,43
Super built-up  Area,18-Dec,Whitefield,3 sq mt,BSlasin,1450,,,61.28
Plot  Area,Ready To Move,Seegehalli,3 sq km,Stndeil,3000,4,2,235
Super built-up  Area,Ready To Move,Tumkur Road,3 sq mt,Soubya ,1459,2,1,95
Super built-up  Area,21-Mar,Yelahanka,3 sq mt,Goues A,1711,3,3,85.61
Super built-up  Area,22-Jun,Hoodi,2 sq mt,GoAirej,1250,2,2,98
Super built-up  Area,18-Sep,Chandapura,1 sq mt,SunceEs,645,1,1,16.45
Plot  Area,Ready To Move,Anandapura,2 sq km,,875,2,1,57
Built-up  Area,18-Feb,Ramamurthy Nagar,2 sq mt,,1334,2,1,67
Built-up  Area,18-Dec,Huskur,2 sq mt,,1140,2,1,32.92
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,,1115,2,2,50
Plot  Area,Ready To Move,Amruthahalli,3 sq km,,1200,5,2,200
Super built-up  Area,18-Aug,Rajaji Nagar,3 sq mt,ProdsWe,1776,3,1,190
Super built-up  Area,Ready To Move,Thigalarapalya,3 sq mt,Prtanha,2072,4,2,160
Plot  Area,Ready To Move,Kundalahalli,3 sq km,Roima A,1600,3,2,170
Plot  Area,Ready To Move,Lakshmi Layout,6 sq km,,1200,4,2,115
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 sq mt,Malowr ,920,2,3,39
Super built-up  Area,19-Feb,Chandapura,2 sq mt,PavesGr,800,2,0,25.29
Plot  Area,Ready To Move,Nagasandra,4 sq km,,1310,3,3,95
Super built-up  Area,Ready To Move,Electronic City,3 sq mt,Goty  E,1631,3,2,80
Super built-up  Area,21-Dec,Kanakpura Road,1 sq mt,PrarePa,525,1,1,27.5
Built-up  Area,Ready To Move,Jalahalli,3 sq mt,Reodsnc,1395,3,3,82
Super built-up  Area,Ready To Move,Devi Nagar,3 sq mt,Krtonwe,2000,3,2,105
Super built-up  Area,18-Jul,Hennur Road,2 sq mt,Puachal,1232,2,1,66
Super built-up  Area,Ready To Move,Virupakshapura,2 sq mt,,1075,2,1,55
Super built-up  Area,Ready To Move,Gubbalala,2 sq mt,MauilTr,1205,2,2,70
Plot  Area,Ready To Move,Muthyala Nagar,4 sq km,,1200,4,2,165
Super built-up  Area,Ready To Move,Rajiv Nagar,4 sq mt,PuoodSk,2340,5,1,129
Super built-up  Area,Ready To Move,Rayasandra,3 sq mt,Amlisai,1179,2,1,55
Super built-up  Area,Ready To Move,Kodigehaali,2 sq mt,Shyas S,1013,2,1,51
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,SLnssPr,1160,2,2,40.6
,,,,,,,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 sq mt,Hiestre,1200,2,2,62.5
Plot  Area,Ready To Move,Nrupathunga Nagar,7 sq km,,1200,5,0,80
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1255,2,3,50.19
Built-up  Area,Ready To Move,Richmond Town,3 sq mt,,1100,2,1,145
Built-up  Area,Ready To Move,Samethanahalli,2 sq mt,SPontna,1069,2,1,55
Plot  Area,Ready To Move,Kyalasanahalli,3 sq km,Ceonyy ,1200,3,2,99
Super built-up  Area,Ready To Move,Kudlu Gate,1 sq mt,,1400,1,1,285
Super built-up  Area,Ready To Move,Marathahalli,2 sq mt,Inden O,1065,2,2,55
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 sq mt,BVeneSe,1395,2,0,75
Built-up  Area,Ready To Move,Hebbal Kempapura,3 sq mt,Goateds,1725,2,1,165
Built-up  Area,Ready To Move,Coconut Grove Layout,2 sq mt,Naenti ,1007,2,2,43
Built-up  Area,Ready To Move,Kengeri,3 sq mt,,1436,2,2,55
Super built-up  Area,Ready To Move,Amrita Nagar,6 sq mt,,4250,6,3,150
Super built-up  Area,19-Jun,Hebbal,3 sq mt,Raard B,1645,3,2,117
Plot  Area,Ready To Move,Kengeri,2 sq km,,1200,2,0,58
Super built-up  Area,19-Apr,Mysore Road,2 sq mt,Brama P,940,2,1,43.61
Built-up  Area,Ready To Move,KR Puram,6 sq km,,4300,6,2,175
Super built-up  Area,20-Dec,Hebbal,3 sq mt,Cehosy ,2850,5,3,343
Built-up  Area,Ready To Move,Indira Nagar,3 sq mt,,1740,3,2,191
Super built-up  Area,18-May,Haralur Road,2 sq mt,,1194,2,2,47
Super built-up  Area,Ready To Move,Sadashiva Nagar,3 sq mt,,3761,3,2,650
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 sq mt,,1829,3,2,125
Plot  Area,Ready To Move,Whitefield,4 sq km,,1800,4,3,178
Super built-up  Area,Ready To Move,Austin Town,2 sq mt,,1000,2,1,60
Built-up  Area,Ready To Move,Venkatapura,3 sq km,,5720,3,0,350
Plot  Area,Ready To Move,Vignana Nagar,5 sq km,,800,4,2,98
Super built-up  Area,Ready To Move,Kadabagere,2 sq mt,Jahipa ,675,1,1,15
Super built-up  Area,Ready To Move,Hebbal,2 sq mt,Chtert ,1390,2,2,95
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 sq mt,RothaVa,1500,3,2,104
Super built-up  Area,21-Jun,Vijayanagar,3 sq mt,Saityat,2047,3,2,136
Super built-up  Area,Ready To Move,Jakkur,2 sq mt,HRaniIb,1202,2,1,79
Super built-up  Area,Ready To Move,Kodbisanhalli,2 sq mt,Seityen,1012,2,1,59
Super built-up  Area,Ready To Move,Gunjur,3 sq mt,Paestol,2132,3,3,80
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,4 sq km,,1350,4,3,340
Super built-up  Area,Ready To Move,Whitefield,1 sq mt,,605,1,1,40
Super built-up  Area,Ready To Move,Harlur,2 sq mt,Prncyrn,1331,2,1,88
Plot  Area,18-May,Margondanahalli,2 sq km,,1200,2,0,69
Built-up  Area,Ready To Move,Kumara Park,2 sq mt,,1150,2,0,250
Plot  Area,Ready To Move,Sahakara Nagar,2 sq km,,1200,2,1,136
Built-up  Area,Ready To Move,Anand Nagar,2 sq km,Bebalrk,1800,2,0,300
Plot  Area,Ready To Move,Kammanahalli,3 sq km,,600,2,1,50
Super built-up  Area,Ready To Move,Akshaya Vana,3 sq mt,Rainet ,1280,2,2,49
Super built-up  Area,Ready To Move,Balagere,2 sq mt,Soresea,1007,2,1,62
Super built-up  Area,18-May,Thanisandra,3 sq mt,SLityee,1370,2,1,61
Super built-up  Area,Ready To Move,Kalkere,2 sq mt,Sothin ,925,2,2,35
Super built-up  Area,Ready To Move,TC Palaya,2 sq mt,,1500,2,0,75
Built-up  Area,Ready To Move,Attibele,1 sq mt,Jae 1hu,450,1,1,12.5
Built-up  Area,Ready To Move,Peenya,4 sq km,,1200,4,1,140
Super built-up  Area,19-Mar,Hennur Road,2 sq mt,Puachal,1341,2,1,95
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,3 sq mt,,1350,2,2,47.25
Super built-up  Area,Ready To Move,Tumkur Road,2 sq mt,Sahtsva,992,2,1,60
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,RaontWa,1163,2,2,68
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Ceiti I,1229,2,2,70
Plot  Area,Ready To Move,Gowdanapalya,2 sq km,,600,2,2,39
Super built-up  Area,Ready To Move,Electronic City Phase II,2 sq mt,Coomee ,1219,2,1,61.26
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 sq mt,GRvanun,1525,2,2,99.13
Super built-up  Area,20-Jun,Kasavanhalli,2 sq mt,Esareap,1147,2,1,60
Super built-up  Area,Ready To Move,Akshaya Nagar,3 sq mt,DLhtsnd,1412,2,3,88
Plot  Area,Ready To Move,Munnekollal,9 sq km,,1200,9,3,215
Super built-up  Area,19-Jun,Sarjapur  Road,2 sq mt,,1044,2,1,34.77
Super built-up  Area,Ready To Move,Nagarbhavi,2 sq mt,KohraNa,1190,2,2,63
Super built-up  Area,Ready To Move,Nagadevanahalli,3 sq mt,,1240,2,2,65
Super built-up  Area,Ready To Move,Jigani,3 sq mt,DLhtsen,1352,3,1,65
Built-up  Area,Ready To Move,Ashwathnagar,2 sq mt,,1100,2,2,55
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,SLnssPr,1330,2,2,39.9
Super built-up  Area,20-Nov,RR Layout,3 sq mt,,1700,3,2,111
Super built-up  Area,18-Apr,Electronic City,2 sq mt,Prarkun,1355,2,1,67
Super built-up  Area,18-Nov,Ramamurthy Nagar,2 sq mt,Vaharvi,1200,2,1,46
Super built-up  Area,Ready To Move,Kengeri,1 sq mt,,400,2,1,25
Built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Tiare S,1342,2,,70
Super built-up  Area,Ready To Move,Begur Road,3 sq mt,Dhalsh ,1615,3,2,50.87
Super built-up  Area,Ready To Move,Vinayaka Nagar,2 sq mt,,1340,2,1,65
Super built-up  Area,Ready To Move,Jakkuru Layout,2 sq mt,,1200,2,1,54
Built-up  Area,Ready To Move,Yeshwanthpur,1 sq km,,400,1,0,55
Super built-up  Area,Ready To Move,Devanahalli,2 sq mt,Brrds O,1080,2,1,52
Super built-up  Area,Ready To Move,Gollahalli,2 sq mt,SuanaNa,1600,2,1,31
Super built-up  Area,Ready To Move,Electronic City,2 sq mt,Prtor N,1200,2,0,34
Plot  Area,17-Apr,Hennur Road,3 sq km,,2700,3,2,150
Built-up  Area,Ready To Move,Billapura,3 sq km,,1780,3,0,110
Built-up  Area,Ready To Move,Amruthahalli,3 sq mt,Pranai ,1605,3,2,65
Super built-up  Area,17-Sep,Ulsoor,4 sq mt,,7200,5,2,1584
Plot  Area,Ready To Move,Doddabommasandra,3 sq km,,646,2,1,65
Super built-up  Area,Ready To Move,Kammanahalli,2 sq mt,Bhide P,1200,2,2,80
Plot  Area,Ready To Move,Margondanahalli,2 sq km,,900,2,0,49
Built-up  Area,19-Dec,Sarjapur,3 sq km,,1830,3,1,88
Plot  Area,Ready To Move,Vishwapriya Layout,5 sq km,,690,4,1,83
Built-up  Area,Ready To Move,Srirampuram,1 sq mt,,650,1,3,500
Plot  Area,Ready To Move,MS Pallya,5 sq km,,1800,4,1,68
Built-up  Area,Ready To Move,Chandapura,3 sq mt,,715,2,0,32
Super built-up  Area,18-Sep,Chandapura,3 sq mt,SunceEs,1230,2,2,31.37
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,,1065,2,1,42.59
Plot  Area,Ready To Move,2nd Phase JP Nagar,8 sq km,,1350,8,2,185
Plot  Area,Ready To Move,Srinagar,3 sq km,,1080,3,2,149
Built-up  Area,Ready To Move,KHB Colony Extension,3 sq mt,,900,2,0,65
Super built-up  Area,Ready To Move,Devasthanagalu,2 sq mt,CMhidal,946,2,2,45
Super built-up  Area,Ready To Move,Laggere,1 sq mt,,1500,1,0,60
Super built-up  Area,18-May,Sarjapur  Road,3 sq mt,PualeSk,1711,3,1,110
Plot  Area,Ready To Move,Attur Layout,4 sq km,,1200,3,2,160
Super built-up  Area,18-Aug,Chandapura,2 sq mt,SuVue S,950,2,1,25.65
Super built-up  Area,Ready To Move,Kudlu Gate,3 sq mt,Brlms P,1656,3,2,80
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,Ayaya A,1075,2,1,46.76
Super built-up  Area,Ready To Move,Harlur,3 sq mt,,1752.12,3,2,133
Plot  Area,Ready To Move,Hebbal,8 sq km,,6000,8,0,220
Super built-up  Area,Ready To Move,Kaverappa Layout,3 sq mt,,1540,3,3,85
Plot  Area,Ready To Move,6th Phase JP Nagar,4 sq km,,600,4,3,125
Super built-up  Area,Ready To Move,LB Shastri Nagar,1 sq mt,Ciisera,665,1,2,32
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3 sq mt,,1665,3,,110
Super built-up  Area,18-Mar,Electronics City Phase 1,2 sq mt,Shitt S,1145,2,1,54
Super built-up  Area,18-Aug,Whitefield,2 sq mt,SSdhimr,1185,2,2,41
Plot  Area,Ready To Move,2nd Phase JP Nagar,3 sq km,,1200,3,1,190
Built-up  Area,Ready To Move,Marathahalli,3 sq mt,Duals P,1693,3,2,125
Super built-up  Area,Ready To Move,Dollars Layout,3 sq mt,Toiasle,2456,3,3,220
Super built-up  Area,Ready To Move,Rajaji Nagar,3 sq mt,PhestOn,2559,3,2,403
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,SLnssPr,1155,2,1,40.6
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 sq mt,,1610,2,2,64.4
Plot  Area,18-Nov,Whitefield,3 sq km,,1200,3,2,56.58
Plot  Area,Ready To Move,Anjana Nagar,2 sq km,,1530,2,1,185
Built-up  Area,Ready To Move,EPIP Zone,3 sq mt,,1709,3,1,80
Plot  Area,Ready To Move,Amruthahalli,4 sq km,,600,4,0,60
Plot  Area,Ready To Move,Brookefield,8 sq km,,2700,8,,290
Plot  Area,Ready To Move,Subramanya Nagar,1 sq km,,840,1,1,150
Super built-up  Area,Ready To Move,Gottigere,3 sq mt,,1400,2,1,50
Super built-up  Area,Ready To Move,KR Puram,2 sq mt,Thisea ,1200,2,1,42
Super built-up  Area,Ready To Move,Janatha Colony,3 sq mt,SGllaav,1439,3,1,57.23
Super built-up  Area,Ready To Move,Kasavanhalli,2 sq mt,,1375,2,2,72
Plot  Area,Ready To Move,BTM 2nd Stage,5 sq km,,2990,5,3,416
Super built-up  Area,Ready To Move,Vijayanagar,3 sq mt,,1200,2,1,75
Built-up  Area,Ready To Move,Yelahanka,2 sq mt,Velas V,1315,2,3,75
Plot  Area,18-Mar,Dommasandra,2 sq km,,1500,2,0,40
Built-up  Area,Ready To Move,Yelahanka,6 sq km,,3600,6,1,200
Super built-up  Area,Ready To Move,Vijayanagar,2 sq mt,Rancy R,1178,2,3,82
Super built-up  Area,Ready To Move,Bannerghatta Road,3 sq mt,,1430,3,2,59
Super built-up  Area,Ready To Move,Mahadevpura,3 sq mt,Neisei ,1400,2,2,65.8
Super built-up  Area,Ready To Move,Thanisandra,2 sq mt,Bhmesy ,1093,2,2,72
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 sq mt,Bhave E,1200,2,1,45
Plot  Area,Ready To Move,Magadi Road,5 sq km,,5000,6,1,360
Built-up  Area,15-Dec,1st Block Jayanagar,3 sq mt,Bhsic C,1200,2,0,130
Built-up  Area,18-Apr,Whitefield,3 sq mt,,2210,3,2,156
Super built-up  Area,Ready To Move,Uttarahalli,2 sq mt,Revane ,1150,2,2,70
Super built-up  Area,Ready To Move,Silk Board,3 sq mt,,1435,2,1,60
Plot  Area,Ready To Move,Mathikere,4 sq km,,600,3,,100
Super built-up  Area,20-Dec,Whitefield,2 sq mt,Oreldhi,1173,2,1,78.2
Super built-up  Area,Ready To Move,Thanisandra,2 sq mt,SLaceda,1140,2,1,39
Super built-up  Area,Ready To Move,Jakkur Plantation,3 sq mt,Reicace,1717,3,3,120
Super built-up  Area,Ready To Move,Mallasandra,2 sq mt,GMilse ,1325,2,,65
Built-up  Area,Ready To Move,Hoodi,3 sq mt,Macanr ,1370,3,2,67
Super built-up  Area,21-Aug,Electronics City Phase 1,2 sq mt,GMownTe,1025,2,1,90
Super built-up  Area,Ready To Move,Doddakammanahalli,3 sq mt,,1409,2,3,62
Super built-up  Area,Ready To Move,Bellandur,2 sq mt,SRageri,1200,2,1,52
Super built-up  Area,Ready To Move,Thanisandra,2 sq mt,NRtesnd,1200,2,1,53.5
Super built-up  Area,18-Feb,Whitefield,3 sq mt,BrlisCo,1740,4,3,130
Super built-up  Area,19-Mar,Hennur Road,2 sq mt,Puachal,1232,2,1,88
Plot  Area,18-Nov,Chandapura,2 sq km,,1200,2,1,36
Super built-up  Area,Ready To Move,Whitefield,4 sq mt,Toindls,5924,4,3,625
Super built-up  Area,Ready To Move,Veersandra,2 sq mt,Shnto F,1250,2,1,50
Built-up  Area,Ready To Move,Munivenkatppa Layout,2 sq mt,SNiew L,1475,2,2,171
Super built-up  Area,Ready To Move,Bommanahalli,4 sq mt,Alarke ,2100,4,2,85
Super built-up  Area,Ready To Move,5th Phase JP Nagar,1 sq mt,,552,1,1,23.5
Super built-up  Area,Ready To Move,Uttarahalli,3 sq mt,,1065,2,2,42.59
Plot  Area,17-Aug,Hennur,3 sq km,,1000,3,1,130
Plot  Area,Ready To Move,Lakshmipura,2 sq km,,1225,2,0,65
Built-up  Area,Ready To Move,Harsha Layout,1 sq mt,,650,1,0,16
Super built-up  Area,Ready To Move,Padmanabhanagar,2 sq mt,Gancy P,1067,2,2,52
Super built-up  Area,Ready To Move,Sarjapur,3 sq mt,Sondaka,1364,2,2,56
Super built-up  Area,Ready To Move,Tata Nagar,3 sq mt,,1750,3,3,75
Super built-up  Area,Ready To Move,Bannerghatta Road,2 sq mt,,1240,2,1,71
Plot  Area,Ready To Move,Hulimavu,2 sq km,,1200,2,0,75
Super built-up  Area,Ready To Move,Kaggadasapura,3 sq mt,,1540,3,,75
Super built-up  Area,Ready To Move,Sathya Layout,3 sq mt,NChtsun,1504,2,2,102
Super built-up  Area,Ready To Move,New Thippasandra,2 sq mt,,1116,2,1,49.8
Super built-up  Area,Ready To Move,Hennur Road,3 sq mt,Samittv,2365,4,2,175
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 sq mt,,1308,2,2,37
Built-up  Area,Ready To Move,Vijayanagar,2 sq mt,,864,2,0,45
Plot  Area,Ready To Move,Vidyaranyapura,5 sq km,,1200,5,1,139
Super built-up  Area,Ready To Move,Hoskote,3 sq mt,Sohti S,1069,2,,38
Super built-up  Area,Ready To Move,Hebbal,2 sq mt,Prersis,1333,2,1,100
Super built-up  Area,Ready To Move,Chennammana Kere,4 sq mt,,1800,4,1,145
Plot  Area,Ready To Move,Devanahalli,4 sq km,Soyleif,6136,4,,550
Super built-up  Area,Ready To Move,Thanisandra,3 sq mt,Soitya ,1698,3,2,107
Super built-up  Area,18-Jun,JP Nagar,3 sq mt,,1275,2,2,43.6
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 sq mt,Avlls H,1060,2,1,48
Super built-up  Area,Ready To Move,Hennur,2 sq mt,,1160,2,1,49
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,Arldsyo,1484,2,,65
Plot  Area,Ready To Move,Hosa Road,3 sq km,,675,3,1,70
Plot  Area,Ready To Move,BEML Layout,3 sq km,,1200,5,,325
Super built-up  Area,Ready To Move,Hennur Road,2 sq mt,Mileeou,1310,2,1,66
Plot  Area,Ready To Move,Vijayanagar,6 sq km,,1806,6,1,370
Super built-up  Area,Ready To Move,Shanti Nagar,4 sq mt,HViesar,3000,4,,240
Super built-up  Area,Ready To Move,Varthur,3 sq mt,,2145,3,2,165
Super built-up  Area,Ready To Move,Marathahalli,3 sq mt,Duals P,1693,3,1,125
Super built-up  Area,Ready To Move,Jigani,3 sq mt,DLhtsen,1230,3,3,60
Plot  Area,18-Jan,Devanahalli,3 sq km,Ozdiaan,1200,3,1,145
Built-up  Area,18-Aug,Bommasandra Industrial Area,3 sq mt,,1310,2,1,37.83
Super built-up  Area,Ready To Move,Tigalarpalya,2 sq mt,,1150,2,1,60
Super built-up  Area,18-Apr,Munnekollal,3 sq mt,Sadhii ,1385,2,2,66.5
Super built-up  Area,Ready To Move,Tumkur Road,2 sq mt,Redarav,1066,2,2,52.5
Super built-up  Area,19-Dec,Thanisandra,3 sq mt,DSity S,2293,3,2,80.26
Plot  Area,Ready To Move,Tindlu,3 sq km,,720,3,1,81
Carpet  Area,Ready To Move,2nd Block Bel Layout,3 sq mt,,1625,3,3,92
Super built-up  Area,Ready To Move,Vittasandra,2 sq mt,,1246,2,1,67.4
Plot  Area,Ready To Move,Vijayanagar,4 sq km,,2100,6,1,252
Super built-up  Area,Ready To Move,sarjapura main road,4 sq mt,,2400,4,3,250
Plot  Area,Ready To Move,Raja Rajeshwari Nagar,6 sq km,,3900,6,,195
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 sq mt,Axdam V,1000,2,1,70.65
Super built-up  Area,Ready To Move,Nagavarapalya,2 sq mt,MYncysi,907,2,2,38
Plot  Area,Ready To Move,Ulsoor,4 sq km,,3500,4,0,138
Super built-up  Area,Ready To Move,Varthur,3 sq mt,Vaensia,1395,2,3,79
Super built-up  Area,Ready To Move,Kumbena Agrahara,2 sq mt,Shont F,1180,2,2,50
Plot  Area,Ready To Move,Banaswadi,5 sq km,,1903,6,2,140
Super built-up  Area,18-Mar,Electronic City,2 sq mt,,1175,2,1,47
Super built-up  Area,Ready To Move,Coconut Grove Layout,2 sq mt,,1272,2,2,51.5
Super built-up  Area,Ready To Move,Hiremath Layout,3 sq mt,MadorSp,1490,2,1,92
Super built-up  Area,Ready To Move,Yeshwanthpur,2 sq mt,IBityin,1144,2,2,67
Plot  Area,17-Aug,Anekal - Hosur Road,4 sq km,,2400,5,,140
Super built-up  Area,Ready To Move,Hormavu,2 sq mt,SLtraks,1143,2,1,53
Plot  Area,Ready To Move,Karuna Nagar,3 sq km,CoinoCu,2500,3,2,190
Super built-up  Area,18-Dec,Whitefield,2 sq mt,Prtates,1216,2,1,75
Super built-up  Area,17-Jun,Nallurhalli,2 sq mt,Mauil T,1044,2,1,60
Super built-up  Area,Ready To Move,Prithvi Layout,2 sq mt,Prlmsge,1352,3,1,93
Super built-up  Area,Ready To Move,Hennur Road,3 sq mt,,1552,3,3,75
Built-up  Area,Ready To Move,Bellandur,3 sq mt,Krala D,1785,3,2,120
Super built-up  Area,Ready To Move,Pai Layout,2 sq mt,,810,2,2,34.5
Super built-up  Area,18-May,Banashankari Stage V,3 sq mt,Naiewre,1650,3,2,51.98
Super built-up  Area,Ready To Move,Akshayanagara East,3 sq mt,,1595,3,2,70.39
Super built-up  Area,Ready To Move,Whitefield,2 sq mt,Rabow R,1060,2,1,35
Super built-up  Area,Ready To Move,Babusapalaya,3 sq mt,,1410,2,3,65
Super built-up  Area,Ready To Move,Nagarbhavi,3 sq mt,DSesthr,1523,2,2,56
Super built-up  Area,19-Jan,Kanakpura Road,3 sq mt,PrityFa,1591,3,1,122
Super built-up  Area,Ready To Move,Ashwath Nagar,3 sq mt,SJcerpe,1640,3,3,84
Built-up  Area,Ready To Move,Yelahanka New Town,1 sq mt,KHatsFl,450,1,0,16
Super built-up  Area,Ready To Move,Bannerghatta Road,3 sq mt,Amarere,1305,2,2,60
Super built-up  Area,Ready To Move,Yelahanka,3 sq mt,,1590,3,1,54
Built-up  Area,Ready To Move,Kaggadasapura,2 sq mt,Frowsru,1240,2,3,45
Super built-up  Area,Ready To Move,MCECHS  layout,2 sq mt,,1200,2,2,54
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 sq mt,,1100,2,1,41.16
Super built-up  Area,Ready To Move,Koramangala,2 sq mt,K ncy R,1180,2,1,128
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,,1115,2,1,50
Super built-up  Area,Ready To Move,Bisuvanahalli,2 sq mt,Prityel,845,2,1,33
Super built-up  Area,Ready To Move,4th Block Jayanagar,3 sq mt,,1567.2,2,0,190
Super built-up  Area,Ready To Move,Channasandra,3 sq mt,Unm 2El,1310,2,2,45
Plot  Area,Ready To Move,Yelahanka,1 sq km,,26136,1,0,150
Built-up  Area,Ready To Move,Jyothi Nagar,2 sq mt,,959,2,1,42.5
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 sq mt,,1200,4,1,140
Super built-up  Area,Ready To Move,Kambipura,2 sq mt,Prrtht ,883,2,1,37
Super built-up  Area,Ready To Move,Rachenahalli,2 sq mt,,1050,2,2,55.5
Super built-up  Area,21-Mar,Yelahanka,2 sq mt,Goues A,1390,2,2,70.21
,,,,,,,,
Super built-up  Area,Ready To Move,Kenchenahalli,3 sq mt,AriosPa,1280,2,2,69
Plot  Area,Ready To Move,Lingarajapuram,7 sq km,,1280,5,3,150
Super built-up  Area,Ready To Move,Yelahanka,3 sq mt,PuziaVe,1614,3,2,95
Super built-up  Area,Ready To Move,Kasturi Nagar,2 sq mt,,1000,2,0,58
Super built-up  Area,18-Apr,Marathahalli,2 sq mt,,1196,2,2,57.9
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,,1220,3,2,57
Super built-up  Area,19-Apr,Ambalipura,2 sq mt,Sisice ,950,2,1,31.95
Super built-up  Area,Ready To Move,Doddabommasandra,9 sq mt,,2400,8,,325
Super built-up  Area,Ready To Move,Akshaya Vana,2 sq mt,Daganva,1141,2,1,55
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2 sq mt,Saisena,1200,2,2,51
Super built-up  Area,Ready To Move,Kasavanhalli,3 sq mt,,1380,2,2,55
Super built-up  Area,Ready To Move,Doddathoguru,2 sq mt,Elayabh,855,2,1,32
Super built-up  Area,18-Sep,Chandapura,1 sq mt,SunceEs,645,1,1,16.45
Super built-up  Area,Ready To Move,Chandapura,2 sq mt,Siissi ,922,2,1,36
Built-up  Area,Ready To Move,Nagappa Reddy Layout,2 sq mt,,1200,2,2,43.2
Super built-up  Area,Ready To Move,Nagadevanahalli,3 sq mt,Gaenty ,1240,2,2,65
Super built-up  Area,18-Aug,7th Phase JP Nagar,2 sq mt,,1070,2,2,42
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 sq mt,Almid P,1293,2,2,75
Built-up  Area,Ready To Move,R.T. Nagar,3 sq mt,,1380,2,1,50
Super built-up  Area,Ready To Move,Yelahanka New Town,3 sq mt,Cerasy ,1599,3,2,80
Super built-up  Area,Ready To Move,Nehru Nagar,2 sq mt,Veyalin,967,2,2,41.1
Super built-up  Area,Ready To Move,Silver Springs Layout,3 sq mt,SaMTBai,1885,3,3,90
Built-up  Area,Ready To Move,1st Block Koramangala,2 sq mt,,860,2,2,65.5
Plot  Area,Ready To Move,Yelahanka,1 sq km,,1075,1,0,19.5
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Ahriaup,1050,2,1,63.5
Super built-up  Area,Ready To Move,Marathahalli,3 sq mt,PuilaMi,1595,3,2,88
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Adeatlm,1350,2,2,102
Built-up  Area,Ready To Move,Hebbal,2 sq mt,Srntsha,1204,2,2,45
Super built-up  Area,Ready To Move,Sarjapur  Road,4 sq mt,SoineJa,2990,4,,240
Super built-up  Area,Ready To Move,Sarjapur  Road,2 sq mt,Usquaya,1035,2,2,49
Super built-up  Area,18-Dec,ITPL,2 sq mt,,1000,2,1,29.95
Super built-up  Area,Ready To Move,Sarjapur  Road,3 sq mt,CoLeoen,1457,3,3,85
Super built-up  Area,Ready To Move,Haralur Road,2 sq mt,,1194,2,2,47
Super built-up  Area,21-Dec,Bannerghatta,2 sq mt,,1100,2,1,66
